ICC Name, Source Component, Target Component, Type of Communication, Android API Count, Java API Count, User Action Count, Permissions, SSoutO, Repacked
 , , , , , , ,[android.permission.INTERNET]-[android.permission.GET_TASKS]-[android.permission.READ_PHONE_STATE]-[android.permission.WRITE_EXTERNAL_STORAGE]-[android.permission.ACCESS_NETWORK_STATE]-,0,1
startActivity,com/mobclix/android/sdk/FetchRemoteConfig$1,android.intent.action.VIEW,external,113,459,44
startActivity,com/mobclix/android/sdk/MobclixBrowserActivity$MobclixBrowser$1,android.intent.action.VIEW,external,145,650,48
startActivity,com/mobclix/android/sdk/MobclixBrowserActivity$MobclixVideoView$ButtonOnClickListener,android.intent.action.VIEW,external,145,650,54
startActivity,com/mobclix/android/sdk/MobclixBrowserActivity,image/*,internal,147,669,71
startActivityForResult,com/mobclix/android/sdk/MobclixBrowserActivity,image/*,internal,147,669,71
startActivity,com/mobclix/android/sdk/MobclixBrowserActivity,image/*,internal,147,669,71
startActivityForResult,com/mobclix/android/sdk/MobclixBrowserActivity,image/*,internal,147,669,71
startActivity,com/mobclix/android/sdk/MobclixBrowserActivity,image/*,internal,147,669,71
startActivityForResult,com/mobclix/android/sdk/MobclixBrowserActivity,image/*,internal,147,669,71
startActivity,com/mobclix/android/sdk/MobclixBrowserActivity,image/*,internal,147,669,71
startActivityForResult,com/mobclix/android/sdk/MobclixBrowserActivity,image/*,internal,147,669,71
startActivity,com/mobclix/android/sdk/MobclixBrowserActivity,image/*,internal,147,669,71
startActivityForResult,com/mobclix/android/sdk/MobclixBrowserActivity,image/*,internal,147,669,71
startActivity,com/mobclix/android/sdk/MobclixCreative$Action,com/mobclix/android/sdk/MobclixBrowserActivity,external,164,671,73
startActivity,com/mobclix/android/sdk/MobclixCreative$Action,com/mobclix/android/sdk/MobclixBrowserActivity,external,164,671,73
startActivity,com/mobclix/android/sdk/MobclixCreative$Action,android.intent.action.VIEW,external,164,671,73
startActivity,com/mobclix/android/sdk/MobclixCreative$Action,android.intent.action.VIEW,external,164,671,73
startActivity,com/mobclix/android/sdk/MobclixCreative$Action,cachedHTML,external,164,671,73
startActivity,com/mobclix/android/sdk/MobclixFullScreenAdView,com/mobclix/android/sdk/MobclixBrowserActivity,external,164,673,92
startActivity,com/mobclix/android/sdk/MobclixJavascriptInterface,android.intent.action.EDIT,external,175,682,107
startActivity,com/mobclix/android/sdk/MobclixJavascriptInterface,com/mobclix/android/sdk/MobclixBrowserActivity,external,179,682,110
startActivity,com/mobclix/android/sdk/MobclixJavascriptInterface,com/mobclix/android/sdk/MobclixBrowserActivity,external,187,682,111
startActivity,com/mobclix/android/sdk/MobclixJavascriptInterface,com/mobclix/android/sdk/MobclixBrowserActivity,external,187,682,112
startActivity,com/mobclix/android/sdk/MobclixJavascriptInterface,android.intent.action.VIEW,external,187,682,117
startActivity,com/mobclix/android/sdk/MobclixJavascriptInterface,android.intent.action.VIEW,external,187,682,117
startActivity,com/mobclix/android/sdk/MobclixJavascriptInterface,com/mobclix/android/sdk/MobclixBrowserActivity,external,187,682,118
startActivity,com/mobclix/android/sdk/MobclixJavascriptInterface,com/mobclix/android/sdk/MobclixBrowserActivity,external,206,682,120
startActivity,com/mobclix/android/sdk/MobclixJavascriptInterface,com/mobclix/android/sdk/MobclixBrowserActivity,external,206,682,122
startActivity,com/mobclix/android/sdk/MobclixWebView$1,android.intent.action.VIEW,external,283,684,134
startActivity,com/mobclix/android/sdk/MobclixWebView,com/mobclix/android/sdk/MobclixBrowserActivity,external,283,732,137
startActivity,com/mobclix/android/sdk/MobclixWebViewClient,android.intent.action.VIEW,external,283,732,138
startActivity,com/mobclix/android/sdk/MobclixWebViewClient,android.intent.action.VIEW,external,283,732,138
startActivity,com/mobclix/android/sdk/MobclixWebViewClient,android.intent.action.VIEW,external,283,732,138
startActivity,com/mobclix/android/sdk/MobclixWebViewClient,android.intent.action.VIEW,external,283,732,138
bindService,com/unity3d/player/a/e,null,external,287,743,138
startActivity,com/unity3d/player/UnityPlayer$12,null,external,332,751,146
startActivity,com/unity3d/player/UnityPlayer,android.intent.action.VIEW,external,338,769,160
