ICC Name, Source Component, Target Component, Type of Communication, Android API Count, Java API Count, User Action Count, Permissions, SSoutO, Repacked
 , , , , , , ,[android.permission.INTERNET]-[android.permission.ACCESS_NETWORK_STATE]-[android.permission.ACCESS_FINE_LOCATION]-[android.permission.ACCESS_COARSE_LOCATION]-[android.permission.READ_PHONE_STATE]-[android.permission.ACCESS_WIFI_STATE]-[com.primarymathsquiz.permission.C2D_MESSAGE]-[com.google.android.c2dm.permission.RECEIVE]-[android.permission.WAKE_LOCK]-[android.permission.VIBRATE]-,0,1
startActivity,com/google/ads/AdActivity$StaticMethodWrapper,com/google/ads/AdActivity,external,0,0,0
startActivity,com/google/ads/AdActivity,Tried to launch empty intent.,internal,0,0,0
startActivity,com/google/ads/internal/AdWebView$1,android.intent.action.VIEW,external,12,32,2
startActivity,com/google/ads/internal/k$a$3,android.intent.action.SEND,external,16,41,8
bindService,com/google/analytics/tracking/android/AnalyticsGmsCoreClient$AnalyticsServiceConnection,null,external,31,55,20
bindService,com/google/analytics/tracking/android/AnalyticsGmsCoreClient,com.google.android.gms.analytics.service.START,external,31,55,20
bindService,com/google/analytics/tracking/android/AnalyticsGmsCoreClient,com.google.android.gms.analytics.service.START,external,31,55,20
bindService,com/google/analytics/tracking/android/AnalyticsGmsCoreClient,com.google.android.gms.analytics.service.START,external,31,55,20
startService,com/google/analytics/tracking/android/CampaignTrackingReceiver,com/google/analytics/tracking/android/CampaignTrackingService,external,31,55,20
startActivity,com/google/analytics/tracking/android/EasyTracker,null,external,31,60,20
startService,com/google/android/gcm/GCMBaseIntentService,com.google.android.gcm.intent.RETRY,external,88,121,20
startService,com/google/android/gcm/GCMRegistrar,sender,external,88,123,20
startActivity,com/primarymathsquiz/App_rater,android.intent.action.VIEW,internal,88,123,28
startActivity,com/primarymathsquiz/App_rater,android.intent.action.SEND,internal,88,123,30
startActivity,com/primarymathsquiz/App_rater,android.intent.action.VIEW,internal,88,123,32
startActivity,com/primarymathsquiz/BT_activity_base,com/primarymathsquiz/BT_activity_root,internal,119,145,57
startActivity,com/primarymathsquiz/BT_activity_root,isSplash,external,128,145,58
startActivity,com/primarymathsquiz/BT_activity_root,com/primarymathsquiz/BT_activity_root_tabs,external,128,145,58
startActivity,com/primarymathsquiz/BT_act_controller,android.intent.action.VIEW,external,128,145,61
startActivity,com/primarymathsquiz/BT_act_controller,android.intent.action.VIEW,external,128,145,61
startActivity,com/primarymathsquiz/BT_act_controller,android.intent.action.VIEW,external,128,145,61
startActivity,com/primarymathsquiz/BT_act_controller,android.intent.action.VIEW,external,128,145,61
startActivity,com/primarymathsquiz/BT_act_controller,android.intent.action.VIEW,external,128,145,61
startActivity,com/primarymathsquiz/BT_act_controller,android.intent.action.VIEW,external,128,145,61
startActivity,com/primarymathsquiz/BT_act_controller,android.intent.action.VIEW,external,128,145,61
startActivity,com/primarymathsquiz/BT_act_controller,android.intent.action.SEND,external,128,145,61
startActivity,com/primarymathsquiz/BT_act_controller,android.intent.action.VIEW,external,128,145,61
startActivity,com/primarymathsquiz/BT_act_controller,android.intent.action.VIEW,external,128,145,61
startActivity,com/primarymathsquiz/BT_act_controller,android.intent.action.VIEW,external,128,145,61
startActivity,com/primarymathsquiz/BT_act_controller,screenData,external,128,145,61
startActivity,com/primarymathsquiz/BT_act_controller,android.intent.action.SEND,external,128,145,61
startActivity,com/primarymathsquiz/BT_act_controller,android.intent.action.VIEW,external,128,145,61
sendBroadcast,com/primarymathsquiz/BT_gcmConfig,com.primarymathsquiz.DISPLAY_MESSAGE,external,150,305,61
startActivity,com/primarymathsquiz/BT_screen_customHTML$2,android.intent.action.VIEW,external,161,319,63
startActivity,com/primarymathsquiz/BT_screen_customHTML,android.intent.action.SEND,internal,161,319,69
startActivity,com/primarymathsquiz/BT_screen_customHTML,android.intent.action.VIEW,internal,161,319,69
startActivity,com/primarymathsquiz/BT_screen_customHTML,android.intent.action.SEND,internal,161,319,69
startActivity,com/primarymathsquiz/BT_screen_customURL$1,android.intent.action.VIEW,external,161,319,73
startActivity,com/primarymathsquiz/BT_screen_customURL$2,android.intent.action.VIEW,external,161,319,76
startActivity,com/primarymathsquiz/BT_screen_customURL$4,android.intent.action.SEND,external,161,319,78
startActivity,com/primarymathsquiz/BT_screen_customURL,android.intent.action.VIEW,internal,161,319,83
