ICC Name, Source Component, Target Component, Type of Communication, Android API Count, Java API Count, User Action Count, Permissions, SSoutO, Repacked
 , , , , , , ,[android.permission.INTERNET]-[android.permission.GET_TASKS]-[android.permission.READ_PHONE_STATE]-[android.permission.ACCESS_NETWORK_STATE]-[android.permission.WRITE_EXTERNAL_STORAGE]-,0,0
startActivity,com/millennialmedia/android/MMAdViewController$4,com/millennialmedia/android/MMAdViewOverlayActivity,external,88,59,50
startActivityForResult,com/millennialmedia/android/MMAdViewController$4,com/millennialmedia/android/MMAdViewOverlayActivity,external,88,59,50
startActivity,com/millennialmedia/android/MMAdViewController$4,android.intent.action.VIEW,external,88,59,50
startActivity,com/millennialmedia/android/MMAdViewController,com/millennialmedia/android/VideoPlayer,external,109,203,50
startActivity,com/millennialmedia/android/MMAdViewWebOverlay$OverlayWebViewClient,com/millennialmedia/android/VideoPlayer,external,116,205,58
startActivity,com/millennialmedia/android/MMAdViewWebOverlay$OverlayWebViewClient,android.intent.action.VIEW,external,116,205,58
startActivity,com/millennialmedia/android/MMAdViewWebOverlay$OverlayWebViewClient,com/millennialmedia/android/VideoPlayer,external,116,205,58
startActivityForResult,com/millennialmedia/android/MMAdViewWebOverlay$OverlayWebViewClient,com/millennialmedia/android/VideoPlayer,external,116,205,58
startActivity,com/millennialmedia/android/MMAdViewWebOverlay$OverlayWebViewClient,android.intent.action.DIAL,external,116,205,58
startActivity,com/millennialmedia/android/MMAdViewWebOverlay$OverlayWebViewClient,android.intent.action.VIEW,external,116,205,58
startActivity,com/millennialmedia/android/MMAdViewWebOverlay$OverlayWebViewClient,android.intent.action.VIEW,external,116,205,58
startActivity,com/millennialmedia/android/MMAdViewWebOverlay$OverlayWebViewClient,com/millennialmedia/android/VideoPlayer,external,116,205,58
startActivityForResult,com/millennialmedia/android/MMAdViewWebOverlay$OverlayWebViewClient,com/millennialmedia/android/VideoPlayer,external,116,205,58
startActivity,com/millennialmedia/android/MMCache,com/millennialmedia/android/VideoPlayer,external,116,215,58
startActivity,com/millennialmedia/android/MMInterstitial,com/millennialmedia/android/MMAdViewOverlayActivity,external,116,389,58
startActivityForResult,com/millennialmedia/android/MMInterstitial,com/millennialmedia/android/MMAdViewOverlayActivity,external,116,389,58
startActivity,com/millennialmedia/android/MMMedia$1,android.media.action.IMAGE_CAPTURE,external,116,397,58
startActivityForResult,com/millennialmedia/android/MMMedia$1,android.media.action.IMAGE_CAPTURE,external,116,397,58
startActivity,com/millennialmedia/android/MMMedia$2,image/*,external,116,401,58
startActivityForResult,com/millennialmedia/android/MMMedia$2,image/*,external,116,401,58
startActivity,com/millennialmedia/android/VideoAd,null,external,116,432,59
startActivity,com/millennialmedia/android/VideoAd,null,external,116,432,59
startActivity,com/millennialmedia/android/VideoAd,null,external,116,432,59
startActivity,com/millennialmedia/android/VideoAd,null,external,116,432,59
startActivity,com/millennialmedia/android/VideoAd,null,external,116,432,59
startActivity,com/millennialmedia/android/VideoAd,null,external,116,432,59
startActivity,com/millennialmedia/android/VideoAd,null,external,116,432,59
startActivity,com/millennialmedia/android/VideoAd,null,external,116,459,59
startActivity,com/millennialmedia/android/VideoAd,null,external,116,459,59
startActivity,com/millennialmedia/android/VideoPlayer,android.intent.action.VIEW,external,116,601,66
startActivity,com/millennialmedia/android/VideoPlayer,com/millennialmedia/android/MMAdViewOverlayActivity,external,116,601,66
startActivityForResult,com/millennialmedia/android/VideoPlayer,com/millennialmedia/android/MMAdViewOverlayActivity,external,116,601,66
