ICC Name, Source Component, Target Component, Type of Communication, Android API Count, Java API Count, User Action Count, Permissions, SSoutO, Repacked
 , , , , , , ,[android.permission.INTERNET]-[android.permission.READ_PHONE_STATE]-[android.permission.ACCESS_NETWORK_STATE]-[android.permission.WRITE_EXTERNAL_STORAGE]-[android.permission.ACCESS_WIFI_STATE]-[com.android.vending.BILLING]-,0,0
startActivity,com/mopub/mobileads/AdView$ShowBrowserTask,android.intent.action.VIEW,external,288,562,130
startActivity,com/mopub/mobileads/AdView$ShowBrowserTask,android.intent.action.VIEW,external,288,562,130
startActivity,com/mopub/mobileads/AdView,com.mopub.intent.extra.AD_CLICK_DATA,external,315,562,130
startActivity,com/mopub/mobileads/MoPubInterstitial$1,com/mopub/mobileads/MoPubActivity,external,332,567,130
sendBroadcast,com/paypal/android/b/e,FATAL_ERROR_ID,external,388,627,133
sendBroadcast,com/paypal/android/b/e,FATAL_ERROR_ID,external,388,629,133
sendBroadcast,com/paypal/android/b/e,FATAL_ERROR_ID,external,392,629,133
sendBroadcast,com/paypal/android/b/e,FATAL_ERROR_ID,external,392,633,133
sendBroadcast,com/paypal/android/b/e,FATAL_ERROR_ID,external,392,633,133
sendBroadcast,com/paypal/android/b/f,CHANGE_STRING,external,401,638,133
sendBroadcast,com/paypal/android/b/f,CHANGE_STRING,external,401,638,133
startActivity,com/tapjoy/TapjoyDisplayAd$2,com/tapjoy/TJCOffersWebView,external,422,670,163
startActivity,com/tapjoy/TapjoyFeaturedApp,com/tapjoy/TapjoyFeaturedAppWebView,internal,422,678,163
startActivity,com/tapjoy/TapjoyFeaturedAppWebView$TapjoyWebViewClient,android.intent.action.VIEW,external,422,678,163
startActivity,com/tapjoy/TapjoyFeaturedAppWebView,com/tapjoy/TJCOffersWebView,internal,422,678,163
startActivity,com/tapjoy/TapjoyVideo,com/tapjoy/TapjoyVideoView,internal,426,880,163
startActivity,com/tapjoy/TapjoyVideoView$4,android.intent.action.VIEW,external,426,882,167
startActivity,com/tapjoy/TapjoyVideoView$5,android.intent.action.VIEW,external,426,882,168
startActivity,com/tapjoy/TJCOffers,com/tapjoy/TJCOffersWebView,internal,426,882,173
startActivity,com/tapjoy/TJCOffers,com/tapjoy/TJCOffersWebView,internal,426,882,173
startActivity,com/tapjoy/TJCOffersWebView$TapjoyWebViewClient,android.intent.action.VIEW,external,426,882,174
startActivity,org/cocos2d/Cocos2D,android.intent.action.MAIN,external,426,902,179
