ICC Name, Source Component, Target Component, Type of Communication, Android API Count, Java API Count, User Action Count, Permissions, SSoutO, Repacked
 , , , , , , ,[com.android.vending.BILLING]-[android.permission.INTERNET]-[android.permission.READ_PHONE_STATE]-[android.permission.ACCESS_WIFI_STATE]-[android.permission.ACCESS_NETWORK_STATE]-[android.permission.VIBRATE]-,1,1
startActivity,com/chartboost/sdk/Chartboost,com/chartboost/sdk/CBImpressionActivity,external,0,0,1
startActivity,com/chartboost/sdk/impl/n,android.intent.action.VIEW,external,24,28,6
startActivity,com/chartboost/sdk/impl/n,android.intent.action.VIEW,external,24,28,6
startActivity,com/google/ads/AdActivity$StaticMethodWrapper,com/google/ads/AdActivity,external,30,111,13
startActivity,com/google/ads/AdActivity,Tried to launch empty intent.,external,30,111,13
startActivity,com/google/ads/internal/AdWebView$1,android.intent.action.VIEW,external,42,143,15
startActivity,com/google/ads/internal/k$a$3,android.intent.action.SEND,external,46,152,21
bindService,com/google/analytics/tracking/android/AnalyticsGmsCoreClient$AnalyticsServiceConnection,null,external,64,166,33
bindService,com/google/analytics/tracking/android/AnalyticsGmsCoreClient,com.google.android.gms.analytics.service.START,external,64,166,33
bindService,com/google/analytics/tracking/android/AnalyticsGmsCoreClient,com.google.android.gms.analytics.service.START,external,64,166,33
bindService,com/google/analytics/tracking/android/AnalyticsGmsCoreClient,com.google.android.gms.analytics.service.START,external,64,166,33
startService,com/google/analytics/tracking/android/CampaignTrackingReceiver,com/google/analytics/tracking/android/CampaignTrackingService,external,64,166,33
startActivity,com/google/analytics/tracking/android/EasyTracker,null,external,64,171,33
bindService,com/google/android/gms/auth/GoogleAuthUtil,null,external,121,232,33
bindService,com/google/android/gms/auth/GoogleAuthUtil,null,external,121,232,33
bindService,com/google/android/gms/auth/GoogleAuthUtil,null,external,121,232,33
sendBroadcast,com/google/android/gms/common/images/ImageManager$ImageReceiver,com.google.android.gms.common.images.LOAD_IMAGE,external,131,244,33
startActivity,com/google/android/gms/dynamic/a$5,null,external,131,246,36
startService,com/google/android/gms/gcm/GoogleCloudMessaging,com.google.android.c2dm.intent.UNREGISTER,external,131,248,36
startService,com/google/android/gms/gcm/GoogleCloudMessaging,com.google.android.c2dm.intent.REGISTER,external,131,248,36
sendOrderedBroadcast,com/google/android/gms/gcm/GoogleCloudMessaging,com.google.android.gcm.intent.SEND,external,131,248,36
startActivity,com/google/android/gms/internal/i,null,external,163,256,39
startActivityForResult,com/google/android/gms/internal/i,null,external,163,256,39
bindService,com/google/android/gms/internal/l,com.google.android.gms,external,163,257,39
startService,com/google/android/gms/internal/l,com.google.android.gms,external,163,257,39
bindService,com/google/android/gms/internal/l,com.google.android.gms,external,163,257,39
startService,com/google/android/gms/internal/l,com.google.android.gms,external,163,257,39
bindService,com/google/android/gms/internal/l,com.google.android.gms,external,163,257,39
startActivity,com/google/android/gms/plus/PlusOneButton$DefaultOnPlusOneClickListener,null,external,190,266,73
startActivityForResult,com/google/android/gms/plus/PlusOneButton$DefaultOnPlusOneClickListener,null,external,190,266,73
startActivity,com/hg/android/cocos2dx/hgutil/AchievementHelper,null,external,190,288,76
startActivityForResult,com/hg/android/cocos2dx/hgutil/AchievementHelper,null,external,190,288,76
startActivity,com/hg/android/cocos2dx/hgutil/AdBackendAdMob$4$1,android.intent.action.VIEW,external,190,288,77
bindService,com/hg/android/cocos2dx/hgutil/BillingBackendGooglePlay,null,external,190,294,77
bindService,com/hg/android/cocos2dx/hgutil/BillingBackendGooglePlay,com.android.vending.billing.InAppBillingService.BIND,external,190,294,77
startActivity,com/hg/android/cocos2dx/hgutil/CCDevicePlatform,android.intent.action.VIEW,external,190,294,77
startActivity,com/hg/android/cocos2dx/hgutil/DialogBackendFacebookLike,android.intent.action.VIEW,external,190,294,81
startActivity,com/hg/android/cocos2dx/hgutil/DialogBackendInfoDialog,android.intent.action.VIEW,external,190,294,85
startActivity,com/hg/android/cocos2dx/hgutil/DialogBackendRateme,android.intent.action.VIEW,external,190,294,94
startActivity,com/hg/android/cocos2dx/hgutil/InterstitialBackendSponsorpay$3,null,external,190,294,101
startActivityForResult,com/hg/android/cocos2dx/hgutil/InterstitialBackendSponsorpay$3,null,external,190,294,101
startActivity,com/hg/android/cocos2dx/hgutil/MoreGames$1$3,android.intent.action.VIEW,external,190,294,105
startActivity,com/hg/android/cocos2dx/hgutil/MoreGames$1$3,android.intent.action.VIEW,external,190,294,105
startActivity,com/hg/android/cocos2dx/hgutil/ScoreHelper,null,external,190,363,120
startActivityForResult,com/hg/android/cocos2dx/hgutil/ScoreHelper,null,external,190,363,120
startActivity,com/hg/android/cocos2dx/hgutil/ScoreHelper,null,external,190,363,120
startActivityForResult,com/hg/android/cocos2dx/hgutil/ScoreHelper,null,external,190,363,120
startActivity,com/hg/android/cocos2dx/hgutil/Utility,android.intent.action.VIEW,external,190,449,120
startActivity,com/hg/android/cocos2dx/hgutil/VirtualCurrencyBackendSponsorpay$2,null,external,190,449,120
startActivityForResult,com/hg/android/cocos2dx/hgutil/VirtualCurrencyBackendSponsorpay$2,null,external,190,449,120
startActivity,com/hg/android/cocos2dx/moregames/MoreGamesWebActivity$2,android.intent.action.VIEW,external,190,449,121
startActivity,com/hg/android/cocos2dx/moregames/MoreGamesWebActivity$2,android.intent.action.VIEW,external,190,449,121
startActivity,com/millennialmedia/android/BridgeMMDevice,android.intent.action.CALL,external,190,725,148
startActivity,com/millennialmedia/android/BridgeMMDevice,android.intent.action.SEND,external,190,725,148
startActivity,com/millennialmedia/android/BridgeMMDevice,android.intent.action.VIEW,external,190,725,148
