ICC Name, Source Component, Target Component, Type of Communication, Android API Count, Java API Count, User Action Count, Permissions, SSoutO, Repacked
 , , , , , , ,[android.permission.CAMERA]-[android.permission.FLASHLIGHT]-[android.permission.VIBRATE]-[android.permission.WAKE_LOCK]-[android.permission.INTERNET]-[android.permission.ACCESS_NETWORK_STATE]-[android.permission.READ_PHONE_STATE]-,1,0
startActivity,com/devuni/flashlight/MainActivity,android.intent.action.BATTERY_CHANGED,external,4,11,2
startService,com/devuni/flashlight/ShakeService,com/devuni/flashlight/ShakeService,external,4,11,11
startActivity,com/devuni/flashlight/WidgetProvider$1,com/devuni/flashlight/MainActivity,external,5,11,13
startActivity,com/devuni/flashlight/widgets/AppsWidget,android.intent.action.VIEW,external,5,11,14
startActivity,com/devuni/flashlight/widgets/BaseWidget,android.intent.action.SEND,external,5,11,16
startActivity,com/devuni/flashlight/widgets/BaseWidget,android.intent.action.VIEW,external,5,11,16
startService,com/devuni/light/Light,com/devuni/flashlight/WidgetService,external,5,22,52
startActivity,com/devuni/light/LightCamera,com/devuni/light/LightActivity,external,5,22,53
startActivity,com/flurry/android/u,android.intent.action.VIEW,external,40,257,56
startActivity,com/flurry/android/u,android.intent.action.VIEW,external,40,257,56
startActivity,com/flurry/android/u,android.intent.category.DEFAULT,external,40,257,56
startActivity,com/flurry/android/u,android.intent.category.DEFAULT,external,43,257,56
startActivity,com/google/ads/AdActivity,com/google/ads/AdActivity,external,43,274,59
startActivity,com/google/ads/AdActivity,com.google.android.apps.plus,external,43,274,60
startActivityForResult,com/google/ads/AdActivity,com.google.android.apps.plus,external,43,274,60
startActivity,com/google/ads/AdActivity,android.intent.action.VIEW,external,43,274,60
startActivity,com/millennialmedia/android/AdDatabaseHelper,null,external,89,282,61
startActivity,com/millennialmedia/android/AdDatabaseHelper,null,external,89,282,61
startActivity,com/millennialmedia/android/AdDatabaseHelper,null,external,89,282,61
startActivity,com/millennialmedia/android/AdDatabaseHelper,null,external,111,282,61
startActivity,com/millennialmedia/android/AdDatabaseHelper,null,external,115,282,61
startActivity,com/millennialmedia/android/EventLogSet,null,external,121,282,61
startActivity,com/millennialmedia/android/EventLogSet,null,external,121,282,61
startActivity,com/millennialmedia/android/EventLogSet,null,external,121,282,61
startActivity,com/millennialmedia/android/EventLogSet,null,external,121,282,61
startActivity,com/millennialmedia/android/EventLogSet,null,external,121,282,61
startActivity,com/millennialmedia/android/EventLogSet,null,external,121,282,61
startActivity,com/millennialmedia/android/EventLogSet,null,external,121,282,61
sendBroadcast,com/millennialmedia/android/MillennialMediaView,com.android.music.musicservicecommand,external,129,306,68
startActivity,com/millennialmedia/android/MMAdView,android.intent.action.VIEW,internal,130,306,76
startActivity,com/millennialmedia/android/MMAdViewController$5,com/millennialmedia/android/MMAdViewOverlayActivity,external,135,314,76
startActivityForResult,com/millennialmedia/android/MMAdViewController$5,com/millennialmedia/android/MMAdViewOverlayActivity,external,135,314,76
startActivity,com/millennialmedia/android/MMAdViewController$5,android.intent.action.VIEW,external,135,314,76
startActivity,com/millennialmedia/android/MMAdViewController$5,com/millennialmedia/android/VideoPlayer,external,135,314,76
startActivityForResult,com/millennialmedia/android/MMAdViewController$5,com/millennialmedia/android/VideoPlayer,external,135,314,76
startActivity,com/millennialmedia/android/MMAdViewController$5,android.intent.action.DIAL,external,135,314,76
startActivity,com/millennialmedia/android/MMAdViewController$5,android.intent.action.VIEW,external,135,314,76
startActivity,com/millennialmedia/android/MMAdViewController$5,com/millennialmedia/android/VideoPlayer,external,135,314,76
startActivityForResult,com/millennialmedia/android/MMAdViewController$5,com/millennialmedia/android/VideoPlayer,external,135,314,76
startActivity,com/millennialmedia/android/MMAdViewController$5,com/millennialmedia/android/MMAdViewOverlayActivity,external,135,314,76
startActivityForResult,com/millennialmedia/android/MMAdViewController$5,com/millennialmedia/android/MMAdViewOverlayActivity,external,135,314,76
startActivity,com/millennialmedia/android/MMAdViewController$5,com/millennialmedia/android/MMAdViewOverlayActivity,external,135,314,76
startActivityForResult,com/millennialmedia/android/MMAdViewController$5,com/millennialmedia/android/MMAdViewOverlayActivity,external,135,314,76
startActivity,com/millennialmedia/android/MMAdViewController$5,android.intent.action.VIEW,external,135,314,76
startActivity,com/millennialmedia/android/MMAdViewController,com/millennialmedia/android/VideoPlayer,external,156,457,76
startActivity,com/millennialmedia/android/MMAdViewWebOverlay$OverlayWebViewClient,com/millennialmedia/android/VideoPlayer,external,163,459,84
startActivity,com/millennialmedia/android/MMAdViewWebOverlay$OverlayWebViewClient,android.intent.action.VIEW,external,163,459,84
startActivity,com/millennialmedia/android/MMAdViewWebOverlay$OverlayWebViewClient,com/millennialmedia/android/VideoPlayer,external,163,459,84
startActivityForResult,com/millennialmedia/android/MMAdViewWebOverlay$OverlayWebViewClient,com/millennialmedia/android/VideoPlayer,external,163,459,84
