ICC Name, Source Component, Target Component, Type of Communication, Android API Count, Java API Count, User Action Count, Permissions, SSoutO, Repacked
 , , , , , , ,[android.permission.INTERNET]-[android.permission.ACCESS_NETWORK_STATE]-,0,0
sendBroadcast,com/alwayssunny/imm/newBoard,android.intent.action.MEDIA_SCANNER_SCAN_FILE,external,0,24,25
startActivity,com/google/ads/AdActivity,com/google/ads/AdActivity,external,2,35,26
startActivity,com/google/ads/AdActivity,android.intent.action.VIEW,external,2,35,27
