ICC Name, Source Component, Target Component, Type of Communication, Android API Count, Java API Count, User Action Count, Permissions, SSoutO, Repacked
 , , , , , , ,[android.permission.ACCESS_WIFI_STATE]-[android.permission.ACCESS_NETWORK_STATE]-[android.permission.READ_PHONE_STATE]-[android.permission.INTERNET]-[android.permission.VIBRATE]-[android.permission.WRITE_EXTERNAL_STORAGE]-[com.android.vending.CHECK_LICENSE]-[com.android.launcher.permission.INSTALL_SHORTCUT]-,1,1
startActivity,com/acrodea/vividruntime/launcher/GameMenuActivity,android.intent.action.MAIN,external,123,320,59
startActivity,com/acrodea/vividruntime/launcher/IntentReceiverActivity,null,external,123,320,64
startActivity,com/acrodea/vividruntime/launcher/IntentReceiverActivity,null,external,123,320,64
startActivity,com/acrodea/vividruntime/launcher/IntentReceiverActivity,null,external,123,320,64
startActivity,com/acrodea/vividruntime/launcher/Jacket,com/acrodea/vividruntime/launcher/JacketActivity,external,123,320,64
startActivityForResult,com/acrodea/vividruntime/launcher/Jacket,com/acrodea/vividruntime/launcher/JacketActivity,external,123,320,64
startActivity,com/acrodea/vividruntime/launcher/JacketView$JI,android.intent.action.VIEW,external,123,320,65
startActivity,com/acrodea/vividruntime/launcher/JacketView$JI,android.intent.action.VIEW,external,123,320,65
startActivity,com/acrodea/vividruntime/launcher/l,android.intent.action.VIEW,external,125,320,67
startActivity,com/acrodea/vividruntime/launcher/l,android.intent.action.VIEW,external,125,320,67
bindService,com/acrodea/vividruntime/launcher/Launcher,null,internal,125,322,67
startActivity,com/acrodea/vividruntime/launcher/Launcher,android.intent.action.MAIN,internal,127,322,67
startActivityForResult,com/acrodea/vividruntime/launcher/Launcher,android.intent.action.MAIN,internal,127,322,67
bindService,com/acrodea/vividruntime/launcher/Launcher,com.ggee.FOREGROUND,internal,127,322,67
startActivity,com/acrodea/vividruntime/launcher/Launcher,com.ggee.FOREGROUND,internal,127,322,67
bindService,com/acrodea/vividruntime/launcher/Launcher,android.intent.action.vividruntime.finish,internal,127,326,67
startActivity,com/acrodea/vividruntime/launcher/Launcher,android.intent.action.vividruntime.finish,internal,127,326,67
startActivity,com/acrodea/vividruntime/launcher/MyAvatar$1AvatarJSObj,android.intent.action.VIEW,external,127,359,70
startActivity,com/acrodea/vividruntime/launcher/MyAvatar$1AvatarJSObj,android.intent.action.VIEW,external,127,359,70
startActivity,com/acrodea/vividruntime/launcher/MyBilling,com/acrodea/vividruntime/launcher/BillingActivity,external,127,359,70
startActivityForResult,com/acrodea/vividruntime/launcher/MyBilling,com/acrodea/vividruntime/launcher/BillingActivity,external,127,359,70
bindService,com/acrodea/vividruntime/launcher/MyDeviceUtil$1,null,external,140,367,70
bindService,com/acrodea/vividruntime/launcher/MyDeviceUtil$3,null,external,140,367,70
startService,com/acrodea/vividruntime/launcher/MyDeviceUtil$3,com/acrodea/vividruntime/launcher/DownloadService,external,140,367,70
bindService,com/acrodea/vividruntime/launcher/MyDeviceUtil$3,com/acrodea/vividruntime/launcher/DownloadService,external,140,367,70
startService,com/acrodea/vividruntime/launcher/MyDeviceUtil,com/acrodea/vividruntime/launcher/DownloadService,external,140,367,70
bindService,com/acrodea/vividruntime/launcher/MyDeviceUtil,com/acrodea/vividruntime/launcher/DownloadService,external,140,367,70
startService,com/acrodea/vividruntime/launcher/MyDeviceUtil,com/acrodea/vividruntime/launcher/DownloadService,external,140,370,70
bindService,com/acrodea/vividruntime/launcher/MyDeviceUtil,com/acrodea/vividruntime/launcher/DownloadService,external,140,370,70
sendBroadcast,com/acrodea/vividruntime/launcher/MyDeviceUtil,android.intent.action.vividruntime.installerror,external,140,373,70
sendBroadcast,com/acrodea/vividruntime/launcher/MyDeviceUtil,android.intent.action.vividruntime.installerror,external,140,375,70
bindService,com/acrodea/vividruntime/launcher/MyDeviceUtil,android.intent.action.vividruntime.installerror,external,140,377,70
bindService,com/acrodea/vividruntime/launcher/MyDeviceUtil,android.intent.action.vividruntime.installerror,external,140,392,70
startActivity,com/acrodea/vividruntime/launcher/MyGgee$7,null,external,140,392,70
startActivity,com/acrodea/vividruntime/launcher/MyGgee,null,external,140,392,70
startActivity,com/acrodea/vividruntime/launcher/MyGgee,accessToken,external,140,392,70
startActivityForResult,com/acrodea/vividruntime/launcher/MyGgee,accessToken,external,140,392,70
startActivity,com/acrodea/vividruntime/launcher/MyGgee,accessToken,external,140,392,70
