ICC Name, Source Component, Target Component, Type of Communication, Android API Count, Java API Count, User Action Count, Permissions, SSoutO, Repacked
 , , , , , , ,[android.permission.INTERNET]-[android.permission.VIBRATE]-[android.permission.WAKE_LOCK]-[android.permission.CAMERA]-[android.permission.RECEIVE_SMS]-[android.permission.ACCESS_COARSE_LOCATION]-[android.permission.ACCESS_FINE_LOCATION]-[android.permission.ACCESS_NETWORK_STATE]-[android.permission.WRITE_EXTERNAL_STORAGE]-[android.permission.READ_PHONE_STATE]-,0,1
startActivityForResult,com/ushahidi/android/app/Dashboard$12,com/ushahidi/android/app/Settings,external,38,29,38
startActivity,com/ushahidi/android/app/Dashboard$3,com/ushahidi/android/app/IncidentTab,external,38,29,39
startActivityForResult,com/ushahidi/android/app/Dashboard$3,com/ushahidi/android/app/IncidentTab,external,38,29,39
startActivity,com/ushahidi/android/app/Dashboard$4,com/ushahidi/android/app/IncidentTab,external,38,29,40
startActivityForResult,com/ushahidi/android/app/Dashboard$4,com/ushahidi/android/app/IncidentTab,external,38,29,40
startActivity,com/ushahidi/android/app/Dashboard$5,com/ushahidi/android/app/Settings,external,38,29,41
startActivityForResult,com/ushahidi/android/app/Dashboard$5,com/ushahidi/android/app/Settings,external,38,29,41
startActivity,com/ushahidi/android/app/Dashboard$6,com/ushahidi/android/app/IncidentAdd,external,38,29,42
startActivityForResult,com/ushahidi/android/app/Dashboard$6,com/ushahidi/android/app/IncidentAdd,external,38,29,42
startActivity,com/ushahidi/android/app/Dashboard$7,com/ushahidi/android/app/checkin/CheckinActivity,external,38,29,43
startActivity,com/ushahidi/android/app/Dashboard$8,com/ushahidi/android/app/DeploymentSearch,external,38,29,44
startActivityForResult,com/ushahidi/android/app/Dashboard$8,com/ushahidi/android/app/DeploymentSearch,external,38,29,44
startActivity,com/ushahidi/android/app/Dashboard$9,com/ushahidi/android/app/About,external,38,29,45
startActivityForResult,com/ushahidi/android/app/Dashboard$9,com/ushahidi/android/app/About,external,38,29,45
startActivity,com/ushahidi/android/app/Dashboard,com/ushahidi/android/app/IncidentTab,external,38,29,45
startActivityForResult,com/ushahidi/android/app/Dashboard,com/ushahidi/android/app/IncidentTab,external,38,29,45
startActivity,com/ushahidi/android/app/Dashboard,com/ushahidi/android/app/IncidentTab,external,38,29,45
startActivityForResult,com/ushahidi/android/app/Dashboard,com/ushahidi/android/app/IncidentTab,external,38,29,45
startActivity,com/ushahidi/android/app/Dashboard,com/ushahidi/android/app/checkin/CheckinActivity,external,38,29,45
startActivityForResult,com/ushahidi/android/app/Dashboard,com/ushahidi/android/app/checkin/CheckinActivity,external,38,29,45
startActivity,com/ushahidi/android/app/Dashboard,com/ushahidi/android/app/IncidentAdd,external,38,29,45
startActivityForResult,com/ushahidi/android/app/Dashboard,com/ushahidi/android/app/IncidentAdd,external,38,29,45
startActivity,com/ushahidi/android/app/Dashboard,com/ushahidi/android/app/About,external,38,29,45
startActivityForResult,com/ushahidi/android/app/Dashboard,com/ushahidi/android/app/About,external,38,29,45
startActivity,com/ushahidi/android/app/Dashboard,com/ushahidi/android/app/Settings,external,38,29,45
startActivityForResult,com/ushahidi/android/app/Dashboard,com/ushahidi/android/app/Settings,external,38,29,45
startActivity,com/ushahidi/android/app/Dashboard,com/ushahidi/android/app/Dashboard,external,38,29,45
startActivity,com/ushahidi/android/app/Dashboard,com/ushahidi/android/app/checkin/CheckinActivity,external,38,29,45
startActivity,com/ushahidi/android/app/Dashboard,com/ushahidi/android/app/IncidentAdd,external,38,29,45
startActivityForResult,com/ushahidi/android/app/Dashboard,com/ushahidi/android/app/IncidentAdd,external,38,29,45
startActivity,com/ushahidi/android/app/Dashboard,java/lang/Object,external,38,29,46
startActivity,com/ushahidi/android/app/Dashboard,com/ushahidi/android/app/DeploymentSearch,external,38,29,52
startActivityForResult,com/ushahidi/android/app/Dashboard,com/ushahidi/android/app/DeploymentSearch,external,38,29,52
startActivity,com/ushahidi/android/app/DeploymentSearch,com/ushahidi/android/app/IncidentTab,external,259,46,61
startActivityForResult,com/ushahidi/android/app/DeploymentSearch,com/ushahidi/android/app/IncidentTab,external,259,46,61
startActivity,com/ushahidi/android/app/IncidentAdd$13,android.intent.action.PICK,external,285,111,81
startActivityForResult,com/ushahidi/android/app/IncidentAdd$13,android.intent.action.PICK,external,285,111,81
startActivity,com/ushahidi/android/app/IncidentAdd$15,android.media.action.IMAGE_CAPTURE,external,285,111,83
startActivityForResult,com/ushahidi/android/app/IncidentAdd$15,android.media.action.IMAGE_CAPTURE,external,285,111,83
startActivity,com/ushahidi/android/app/IncidentAdd,com/ushahidi/android/app/About,external,285,118,98
startActivityForResult,com/ushahidi/android/app/IncidentAdd,com/ushahidi/android/app/About,external,285,118,98
startActivity,com/ushahidi/android/app/IncidentAdd,com/ushahidi/android/app/Settings,external,285,118,98
startActivityForResult,com/ushahidi/android/app/IncidentAdd,com/ushahidi/android/app/Settings,external,285,118,98
startActivity,com/ushahidi/android/app/IncidentAdd,com/ushahidi/android/app/Dashboard,external,285,125,98
startActivity,com/ushahidi/android/app/IncidentAdd,com/ushahidi/android/app/IncidentTab,external,285,125,98
startActivityForResult,com/ushahidi/android/app/IncidentAdd,com/ushahidi/android/app/IncidentTab,external,285,125,98
