ICC Name, Source Component, Target Component, Type of Communication, Android API Count, Java API Count, User Action Count, Permissions, SSoutO, Repacked
 , , , , , , ,[android.permission.INTERNET]-[android.permission.ACCESS_NETWORK_STATE]-[android.permission.ACCESS_COARSE_LOCATION]-[android.permission.WRITE_EXTERNAL_STORAGE]-[android.permission.ACCESS_WIFI_STATE]-[android.permission.GET_ACCOUNTS]-[android.permission.USE_CREDENTIALS]-,0,1
startActivityForResult,com/borixo/transzilla/ComboBoxActivity_$IntentBuilder_,com/borixo/transzilla/ComboBoxActivity_,external,142,557,202
startActivity,com/borixo/transzilla/ComboBoxActivity_$IntentBuilder_,com/borixo/transzilla/ComboBoxActivity_,external,142,557,202
startActivity,com/borixo/transzilla/ConversationFragment,android.speech.action.RECOGNIZE_SPEECH,external,142,557,205
startActivityForResult,com/borixo/transzilla/ConversationFragment,android.speech.action.RECOGNIZE_SPEECH,external,142,557,205
startActivity,com/borixo/transzilla/ConversationFragment,android.speech.action.RECOGNIZE_SPEECH,external,142,557,205
startActivityForResult,com/borixo/transzilla/ConversationFragment,android.speech.action.RECOGNIZE_SPEECH,external,142,557,205
startActivity,com/borixo/transzilla/DictionaryFragment,android.speech.action.RECOGNIZE_SPEECH,external,142,558,213
startActivityForResult,com/borixo/transzilla/DictionaryFragment,android.speech.action.RECOGNIZE_SPEECH,external,142,558,213
startActivity,com/borixo/transzilla/DictionaryFragment,android.intent.action.SEND,external,142,558,213
startService,com/borixo/transzilla/DownloadDictActivity,com/yyxu/download/services/TrafficCounterService,internal,142,559,226
startService,com/borixo/transzilla/DownloadDictActivity,com.borixo.transzilla.services.IDownloadService,internal,142,559,226
startService,com/borixo/transzilla/DownloadDictActivity,com.borixo.transzilla.services.IDownloadService,internal,142,559,229
startService,com/borixo/transzilla/DownloadDictActivity,com.borixo.transzilla.services.IDownloadService,internal,142,559,229
startActivity,com/borixo/transzilla/DownloadDictActivity_$IntentBuilder_,com/borixo/transzilla/DownloadDictActivity_,external,142,559,229
startActivity,com/borixo/transzilla/DownloadDictActivity_$IntentBuilder_,com/borixo/transzilla/DownloadDictActivity_,external,142,559,229
startActivityForResult,com/borixo/transzilla/DownloadDictActivity_$IntentBuilder_,com/borixo/transzilla/DownloadDictActivity_,external,142,559,229
startActivity,com/borixo/transzilla/DownloadDictActivity_$IntentBuilder_,com/borixo/transzilla/DownloadDictActivity_,external,142,559,229
startActivityForResult,com/borixo/transzilla/DownloadDictActivity_$IntentBuilder_,com/borixo/transzilla/DownloadDictActivity_,external,142,559,229
startActivity,com/borixo/transzilla/DownloadDictActivity_$IntentBuilder_,com/borixo/transzilla/DownloadDictActivity_,external,142,559,229
startActivityForResult,com/borixo/transzilla/DownloadDictActivity_$IntentBuilder_,com/borixo/transzilla/DownloadDictActivity_,external,142,559,229
startActivity,com/borixo/transzilla/DownloadDictActivity_$IntentBuilder_,com/borixo/transzilla/DownloadDictActivity_,external,142,559,229
startActivity,com/borixo/transzilla/FullScreenActivity_$IntentBuilder_,com/borixo/transzilla/FullScreenActivity_,external,142,559,238
startActivity,com/borixo/transzilla/FullScreenActivity_$IntentBuilder_,com/borixo/transzilla/FullScreenActivity_,external,142,559,238
startActivityForResult,com/borixo/transzilla/FullScreenActivity_$IntentBuilder_,com/borixo/transzilla/FullScreenActivity_,external,142,559,238
startActivity,com/borixo/transzilla/FullScreenActivity_$IntentBuilder_,com/borixo/transzilla/FullScreenActivity_,external,142,559,238
startActivityForResult,com/borixo/transzilla/FullScreenActivity_$IntentBuilder_,com/borixo/transzilla/FullScreenActivity_,external,142,559,238
startActivity,com/borixo/transzilla/FullScreenActivity_$IntentBuilder_,com/borixo/transzilla/FullScreenActivity_,external,142,559,238
startActivityForResult,com/borixo/transzilla/FullScreenActivity_$IntentBuilder_,com/borixo/transzilla/FullScreenActivity_,external,142,559,238
startActivity,com/borixo/transzilla/FullScreenActivity_$IntentBuilder_,com/borixo/transzilla/FullScreenActivity_,external,142,559,238
startActivity,com/borixo/transzilla/HelpActivity_$IntentBuilder_,com/borixo/transzilla/HelpActivity_,external,142,559,238
startActivity,com/borixo/transzilla/HelpActivity_$IntentBuilder_,com/borixo/transzilla/HelpActivity_,external,142,559,238
startActivityForResult,com/borixo/transzilla/HelpActivity_$IntentBuilder_,com/borixo/transzilla/HelpActivity_,external,142,559,238
startActivity,com/borixo/transzilla/HelpActivity_$IntentBuilder_,com/borixo/transzilla/HelpActivity_,external,142,559,238
startActivityForResult,com/borixo/transzilla/HelpActivity_$IntentBuilder_,com/borixo/transzilla/HelpActivity_,external,142,559,238
startActivity,com/borixo/transzilla/HelpActivity_$IntentBuilder_,com/borixo/transzilla/HelpActivity_,external,142,559,238
startActivityForResult,com/borixo/transzilla/HelpActivity_$IntentBuilder_,com/borixo/transzilla/HelpActivity_,external,142,559,238
startActivity,com/borixo/transzilla/HelpActivity_$IntentBuilder_,com/borixo/transzilla/HelpActivity_,external,142,559,238
startActivity,com/borixo/transzilla/MainActivity,android.speech.tts.engine.CHECK_TTS_DATA,external,142,559,245
startActivityForResult,com/borixo/transzilla/MainActivity,android.speech.tts.engine.CHECK_TTS_DATA,external,142,559,245
startActivity,com/borixo/transzilla/MainActivity,android.speech.tts.engine.INSTALL_TTS_DATA,external,142,559,245
startActivity,com/borixo/transzilla/MainActivity,android.speech.tts.engine.INSTALL_TTS_DATA,external,142,579,245
startActivity,com/borixo/transzilla/MainActivity,com/borixo/transzilla/SettingsActivity,external,142,579,253
startActivity,com/borixo/transzilla/MainActivity,com/borixo/transzilla/SettingsActivity,external,142,579,253
startActivity,com/borixo/transzilla/MainActivity,com/borixo/transzilla/SettingsActivity,external,142,579,253
startActivity,com/borixo/transzilla/MainActivity,com/borixo/transzilla/SettingsActivity,external,142,579,253
startActivity,com/borixo/transzilla/MainActivity,com/borixo/transzilla/SettingsActivity,external,142,579,253
startActivity,com/borixo/transzilla/MainActivity,com/borixo/transzilla/SettingsActivity,external,142,579,253
sendOrderedBroadcast,com/borixo/transzilla/MainActivity,android.speech.action.GET_LANGUAGE_DETAILS,external,142,579,254
