ICC Name, Source Component, Target Component, Type of Communication, Android API Count, Java API Count, User Action Count, Permissions, SSoutO, Repacked
 , , , , , , ,[android.permission.WRITE_EXTERNAL_STORAGE]-[android.permission.INTERNET]-[android.permission.ACCESS_WIFI_STATE]-[android.permission.ACCESS_NETWORK_STATE]-[android.permission.READ_PHONE_STATE]-,1,1
startActivity,com/google/android/youtube/player/YouTubeInitializationResult$a,null,external,51,747,136
startActivityForResult,com/google/android/youtube/player/YouTubeInitializationResult$a,null,external,51,747,136
startActivity,com/jirbo/adcolony/ADCController,com/jirbo/adcolony/AdColonyOverlay,external,51,786,138
startActivity,com/jirbo/adcolony/ADCController,com/jirbo/adcolony/AdColonyFullscreen,external,51,786,138
sendBroadcast,com/jirbo/adcolony/ADCCustomVideoView,com.android.music.musicservicecommand,external,51,802,139
startActivity,com/jirbo/adcolony/ADCMRAIDHandler,android.intent.action.EDIT,external,66,913,144
startActivity,com/jirbo/adcolony/ADCMRAIDHandler,android.intent.action.EDIT,external,66,913,144
startActivity,com/jirbo/adcolony/ADCMRAIDHandler,android.intent.action.SEND,external,66,913,144
startActivity,com/jirbo/adcolony/ADCMRAIDHandler,android.intent.action.VIEW,external,66,913,144
startActivity,com/jirbo/adcolony/ADCMRAIDHandler,android.intent.action.VIEW,external,66,913,144
startActivity,com/jirbo/adcolony/ADCMRAIDHandler,android.intent.action.VIEW,external,66,913,144
startActivity,com/jirbo/adcolony/ADCMRAIDHandler,com/jirbo/adcolony/AdColonyBrowser,external,66,913,144
startActivity,com/jirbo/adcolony/ADCMRAIDHandler,android.intent.action.VIEW,external,66,913,144
startActivity,com/jirbo/adcolony/ADCMRAIDHandler,android.intent.action.VIEW,external,66,913,144
sendBroadcast,com/jirbo/adcolony/ADCMRAIDHandler,android.intent.action.MEDIA_MOUNTED,external,66,943,144
startActivity,com/jirbo/adcolony/ADCMRAIDHandler,android.intent.action.DIAL,external,66,955,144
startActivity,com/jirbo/adcolony/AdColonyBrowser$2,android.intent.action.VIEW,external,66,955,145
startActivity,com/jirbo/adcolony/ADCVideoHUD$4,android.intent.action.VIEW,external,66,1056,160
startActivity,com/jirbo/adcolony/ADCVideoHUD,android.intent.action.VIEW,external,66,1056,160
startActivity,com/jirbo/adcolony/ADCVideoHUD,com/jirbo/adcolony/AdColonyBrowser,external,66,1059,160
startActivity,com/jirbo/adcolony/ADCVideoHUD,android.intent.action.VIEW,external,66,1059,160
startActivity,com/jirbo/adcolony/ADCVideoHUD,com/jirbo/adcolony/AdColonyBrowser,external,66,1059,160
startActivity,com/jirbo/adcolony/ADCVideoHUD,android.intent.action.VIEW,external,66,1060,162
startActivity,com/jirbo/adcolony/ADCVideoHUD,com/jirbo/adcolony/AdColonyBrowser,external,66,1060,162
startActivity,com/millennialmedia/android/BridgeMMDevice,android.intent.action.CALL,external,66,1288,185
startActivity,com/millennialmedia/android/BridgeMMDevice,android.intent.action.SEND,external,66,1288,185
startActivity,com/millennialmedia/android/BridgeMMDevice,android.intent.action.VIEW,external,66,1288,185
startActivity,com/millennialmedia/android/BridgeMMDevice,android.intent.action.VIEW,external,91,1288,185
startActivity,com/millennialmedia/android/BridgeMMDevice,android.intent.action.VIEW,external,91,1288,185
startActivity,com/millennialmedia/android/BridgeMMDevice,android.intent.action.VIEW,external,91,1288,185
startActivity,com/millennialmedia/android/BridgeMMInterstitial,android.intent.action.VIEW,external,91,1388,185
