AppName,BroadcastReceiverOccurenceFrequency,ActivityOccurenceFrequency:,ServicesOccurenceFrequency:,TotalComponentFrequency: ,MostCommonTargetComponent: ,MostCommonSourceComponent: ,InternalOccurence:,ExternalOccurence,Permissions,NormalPerms,DangerousPerms,SignaturePerms,RiskRatePerPerms,androidApiCount,javaApiCount,totalApiCount,apiPerComponent,userActionCount,userActionPerComponent,StringOffset,Repacked
0Dk6gyDhgDoW.csv,0,17,0,17,4,6,1,17,6,2,3,2,0.5,9,7,16,0.9411764705882353,7,0.4117647058823529,True,True
0DkoQolfCjrF.csv,1,14,0,15,9,3,1,15,8,3,3,3,0.375,7,7,14,0.9333333333333333,7,0.4666666666666667,True,True
0dP0vxmTijYF.csv,8,105,27,140,11,12,5,135,5,2,2,2,0.4,28,17,45,0.32142857142857145,34,0.24285714285714285,False,True
0dQ6tJZCthuN.csv,0,3,9,12,2,4,1,12,3,1,1,1,0.3333333333333333,11,9,20,1.6666666666666667,11,0.9166666666666666,False,False
0dQYjVxVVhfF.csv,2,1,0,3,2,2,1,3,8,2,4,2,0.5,3,3,6,2.0,2,0.6666666666666666,True,True
0dXeJLO2cEc9.csv,0,27,0,27,7,6,2,25,27,11,10,11,0.37037037037037035,11,8,19,0.7037037037037037,6,0.2222222222222222,True,True
0dy1aHFkZZ7D.csv,1,56,6,63,10,12,1,63,4,2,2,2,0.5,19,12,31,0.49206349206349204,24,0.38095238095238093,False,True
0e0dubK9SYBo.csv,2,12,7,21,5,8,1,21,7,2,3,2,0.42857142857142855,16,5,21,1.0,8,0.38095238095238093,True,True
0e361DWyikR1.csv,1,56,6,63,10,12,1,63,4,2,2,2,0.5,19,12,31,0.49206349206349204,24,0.38095238095238093,False,True
0e5L18r40dKa.csv,3,4,0,7,3,6,1,7,12,4,5,4,0.4166666666666667,5,5,10,1.4285714285714286,5,0.7142857142857143,True,False
0E9hdfNVxGZ7.csv,3,29,30,62,26,8,4,58,5,2,3,2,0.6,16,8,24,0.3870967741935484,19,0.3064516129032258,False,True
